Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
הגליל 65,"3,900 ₪",12,0,חיפה,90,1 מתוך 3,0,חיפה וחוף הכרמל,דירה
לוי יוסף 50,"4,000 ₪",4,2.5,קרית ביאליק,130,1 מתוך 7,2,קריות,כללי
לוונברג 10,"8,500 ₪",12,5.0,כפר סבא,1,קרקע מתוך קרקע,0,רעננה - כפר סבא,דירה
סוקולוב 2,"4,500 ₪",12,0,תל אביב יפו,40,3 מתוך 3,3,תל אביב,סטודיו/לופט
מוריה 52,"2,200 ₪",12,0,באר שבע,75,1 מתוך 3,1,באר שבע והסביבה,יחידת דיור
החשמונאים 12,"5,000 ₪",12,0,רמת גן,130,2 מתוך 3,1,רמת גן - גבעתיים,דירה
הגפן 16,"8,500 ₪",12,5.0,מבשרת ציון,120,1 מתוך 13,0,ירושלים והסביבה,דו משפחתי
חנה רובינא 1,"5,200 ₪",4,4.0,כפר יונה,78,קרקע מתוך קרקע,1,נתניה והסביבה,דירה
הרימון 40,"4,000 ₪",12,2.5,עזריאל,20,קרקע מתוך קרקע,4,מושבים בשרון,דירת גן
ארולוזרוב 21,"4,000 ₪",12,0,רמת גן,109,3 מתוך 6,0,רמת גן - גבעתיים,יחידת דיור
ז'בוטינסקי 34,"5,800 ₪",1,0,נהריה,30,קרקע מתוך קרקע,0,עכו - נהריה,דירה
שדרת אגמים 3,"3,800 ₪",12,1.5,נתניה,135,קרקע מתוך קרקע,0,נתניה והסביבה,יחידת דיור
הגיא 461,"2,800 ₪",10,2.0,חניאל,127,3 מתוך 6,0,חדרה וישובי עמק חפר,יחידת דיור
האלון 81,"6,000 ₪",12,5.5,שדה צבי,34,4 מתוך 4,0,מושבים בדרום,פרטי/קוטג'
יהודה הנשיא 3,"47,000 ₪",12,0,טבריה,80,3 מתוך 3,0,טבריה והסביבה,דירה
טבנקין 8,"1,700 ₪",12,0,באר שבע,100,4 מתוך 4,4,באר שבע והסביבה,יחידת דיור
ההסתדרות 29,"3,100 ₪",12,0,אשקלון,80,3 מתוך 6,0,אשדוד - אשקלון,דירה
דוד פרנקפורטר 21,"5,900 ₪",12,0,פתח תקווה,80,1 מתוך 7,1,פתח תקוה והסביבה,דירה
צ'לנוב 10,"5,500 ₪",12,0,ראשון לציון,90,קרקע מתוך 5,1,"ראשל""צ והסביבה",דירה
יערה 3,"3,300 ₪",12,2.0,קרית טבעון,139,10 מתוך 20,2,עמק יזרעאל,יחידת דיור
מבוא החמציץ 4,"4,500 ₪",12,0,אשדוד,90,4 מתוך 7,0,אשדוד - אשקלון,דירה
טרומפלדור 48,"14,000 ₪",12,0,תל אביב יפו,74,קרקע מתוך 48,0,תל אביב,דירת גן
עמיקם שמאי 36,"8,800 ₪",12,6.0,ראש פינה,430,קרקע מתוך קרקע,0,גליל ועמקים,בית פרטי/קוטג'
שלמה לוי 2,"7,000 ₪",12,0,ראשון לציון,120,1 מתוך 18,0,"ראשל""צ והסביבה",דירה
נהרדעא 10,"9,900 ₪",12,0,תל אביב יפו,106,10 מתוך 12,0,תל אביב,דירה
גרציאני יצחק 6,"8,500 ₪",12,0,תל אביב יפו,80,4 מתוך 3,1,תל אביב,דירה
הזית 1,"6,150 ₪",12,5.0,עומר,130,1 מתוך 2,0,באר שבע והסביבה,בית פרטי/קוטג'
הגילה 15,0,12,0,נתניה,100,2 מתוך 2,3,נתניה והסביבה,תיירות ונופש
נחשול 6,"6,200 ₪",12,4.0,ראש העין,70,קרקע מתוך קרקע,0,ראש העין והסביבה,דירה
הרצל 43,"4,700 ₪",12,0,בת ים,106,5 מתוך 7,0,חולון - בת ים,דירה
הראשונים 60,"4,500 ₪",12,0,חיפה,20,1 מתוך 2,0,חיפה וחוף הכרמל,דירה
ההרחבה 68,0,12,3.0,כפר יחזקאל,45,4 מתוך 4,0,גליל ועמקים,יחידת דיור
זית 2,"3,900 ₪",12,2.0,מבשרת ציון,180,3 מתוך 3,0,ירושלים והסביבה,דירה
אנסקי 11,"4,500 ₪",12,3.0,פתח תקווה,90,1 מתוך 3,1,פתח תקוה והסביבה,דירה
הר הצופים 60,"6,900 ₪",12,0,רחובות,132,6 מתוך 8,0,נס ציונה - רחובות,דירה
סוכת שלום 7,"2,900 ₪",12,0,ירושלים,96,3 מתוך 7,0,ירושלים והסביבה,דירה
החצב 10,"3,200 ₪",12,3.5,ראשון לציון,20,3 מתוך 6,1,"ראשל""צ והסביבה",דירה
התומר 11,"4,800 ₪",12,0,הוד השרון,75,2 מתוך 2,0,הוד השרון והסביבה,דירה
דרך מגדיאל 69,"11,000 ₪",12,0,חיפה,138,12 מתוך 28,1,חיפה וחוף הכרמל,סאבלט
ארלוזורוב 110,"3,500 ₪",12,0,ראשון לציון,480,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
החלמונית 34,"7,800 ₪",12,0,ירושלים,106,8 מתוך 9,0,ירושלים והסביבה,דירה
גלבר 20,"6,200 ₪",12,0,עכו,70,1 מתוך 3,0,עכו - נהריה,דירה
דותן 8,"2,000 ₪",12,0,גבעון החדשה,113,5 מתוך 7,0,ירושלים והסביבה,יחידת דיור
כליל החורש 15,"4,300 ₪",12,1.0,רמלה,115,20 מתוך 22,0,רמלה - לוד,דירה
משה לוי 2,"6,200 ₪",12,0,יבנאל,30,קרקע מתוך 2,1,טבריה והסביבה,דירה
אירוס הגליל 1,"5,000 ₪",12,4.0,רחובות,110,1 מתוך 6,0,נס ציונה - רחובות,בית פרטי/קוטג'
יעקב תמרי 14,"5,800 ₪",12,0,חיפה,585,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
"האר""י 4","3,500 ₪",12,0,הרצליה,87,2 מתוך 9,0,רמת השרון - הרצליה,דירה
הנדיב 9,"8,650 ₪",12,0,ראשון לציון,85,3 מתוך 3,1,"ראשל""צ והסביבה",דירה
חיל האוויר 5,0,12,0,קדימה צורן,120,1 מתוך 1,0,מושבים בשרון,דירה
שבט שמעון 7,"4,000 ₪",12,3.5,באר שבע,60,4 מתוך 4,2,באר שבע והסביבה,מרתף/פרטר
סנהדרין 79,"1,550 ₪",12,0,רמת השרון,55,קרקע מתוך קרקע,0,רמת השרון - הרצליה,יחידת דיור
השדות 14,"10,500 ₪",12,0,מגדל העמק,90,1 מתוך 4,1,עמק יזרעאל,דירה
קדש 28,"2,800 ₪",12,3.0,נהריה,98,3 מתוך 4,0,עכו - נהריה,בית פרטי/קוטג'
וייצמן 57,"4,200 ₪",12,0,אשקלון,78,3 מתוך 4,2,אשדוד - אשקלון,דירה
אלי כהן 59,"3,000 ₪",12,0,מבשרת ציון,100,3 מתוך 9,0,ירושלים והסביבה,דירה
יסמין 50,"6,200 ₪",12,5.0,תל אביב יפו,110,קרקע מתוך 15,1,תל אביב,יחידת דיור
"ש""ץ 5","9,200 ₪",12,0,חדרה,60,1 מתוך 3,0,חדרה וישובי עמק חפר,דירה
התדהר 3,"2,800 ₪",12,0,אילת,60,קרקע מתוך קרקע,0,אילת והערבה,יחידת דיור
כיכר אריות 3307,"4,500 ₪",12,0,רחובות,55,1 מתוך 2,1,נס ציונה - רחובות,דירה
"ד""ר מוסקוביץ' 26","1,850 ₪",12,0,ירושלים,25,קרקע מתוך 3,0,ירושלים והסביבה,מחסן
שלמה בן יוסף 241,"3,700 ₪",12,0,קרית ים,167,11 מתוך 14,0,קריות,דירה
יצחק בן צבי 26,"3,200 ₪",12,3.0,אור עקיבא,80,2 מתוך 4,0,קיסריה והסביבה,דירה
השולמית 1,"4,000 ₪",12,0,גבעתיים,170,קרקע מתוך קרקע,0,רמת גן - גבעתיים,דירה
שמעון בן צבי 36,"9,800 ₪",12,0,רמת גן,115,5 מתוך 7,0,רמת גן - גבעתיים,דירה
ארלוזורוב 9,"6,000 ₪",12,0,כפר סבא,48,1 מתוך 3,0,רעננה - כפר סבא,דירה
השופטים 34,0,12,0,גבעת שמואל,80,3 מתוך 3,0,בקעת אונו,יחידת דיור
"הפלמ""ח 12","4,300 ₪",12,0,ראשון לציון,100,5 מתוך 12,0,"ראשל""צ והסביבה",דירה
חיל הצנחנים 39,"2,800 ₪",12,0,אשדוד,50,2 מתוך 3,1,אשדוד - אשקלון,יחידת דיור
שוהם 18,"7,950 ₪",12,0,אור עקיבא,120,1 מתוך 5,0,קיסריה והסביבה,דירה
החרמון 20,"3,700 ₪",12,0,עפולה,50,קרקע מתוך 2,0,עמק יזרעאל,דירה
אורנים 1,"3,700 ₪",11,4.0,חריש,106,2 מתוך 13,1,פרדס חנה - כרכור,בית פרטי/קוטג'
לוטם 12,"3,600 ₪",12,0,ירושלים,350,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
כובשי קטמון 6,"5,900 ₪",12,0,חולון,260,קרקע מתוך קרקע,0,חולון - בת ים,דירה
אילת 10,"4,000 ₪",12,0,אילת,65,2 מתוך 4,0,אילת והערבה,דירה
כיכר צנינית 3,"4,750 ₪",12,0,אילת,50,3 מתוך 4,1,אילת והערבה,דירה
אגמונים 215,"3,500 ₪",12,0,קרית ביאליק,125,1 מתוך 1,1,קריות,דירה
דפנה 58,"4,500 ₪",1,0,אילת,80,3 מתוך 8,1,אילת והערבה,דירה
החורב 255,"3,600 ₪",12,3.0,בית שמש,230,12 מתוך 12,0,בית שמש והסביבה,יחידת דיור
העונות 1,"4,500 ₪",12,0,תל אביב יפו,195,10 מתוך 10,0,תל אביב,דירה
הגולן 24,"12,000 ₪",4,4.5,קדימה צורן,114,4 מתוך 6,0,מושבים בשרון,בית פרטי/קוטג'
השיקמים 4,"8,500 ₪",12,0,ירושלים,325,קרקע מתוך 1,0,ירושלים והסביבה,דו משפחתי
שדרות הרצל 97,"5,500 ₪",12,0,לוד,55,2 מתוך 2,0,רמלה - לוד,דירה
אריה רובין 5,"3,099 ₪",12,1.0,פוריה נווה עובד,105,3 מתוך 4,0,טבריה והסביבה,דירה
הסביונים 1,"3,300 ₪",12,4.0,כפר יחזקאל,80,1 מתוך 16,0,גליל ועמקים,דירה
ההרחבה 68,0,12,5.0,אריאל,151,12 מתוך 16,0,יישובי השומרון,יחידת דיור
הערבה 54,"5,300 ₪",12,0,פתח תקווה,60,1 מתוך 4,0,פתח תקוה והסביבה,בית פרטי/קוטג'
האחים בכר 5,"6,700 ₪",12,5.0,אור יהודה,30,1 מתוך 1,1,בקעת אונו,דירה
כנען 1,"10,300 ₪",12,0,חדרה,60,4 מתוך 4,0,חדרה וישובי עמק חפר,גג/פנטהאוז
החסידה 10,"5,700 ₪",12,4.0,רעננה,100,1 מתוך 2,0,רעננה - כפר סבא,דירה
נעמי שמר 22,"8,200 ₪",12,0,זכרון יעקב,70,2 מתוך 3,1,זכרון - בנימינה,דירה
התירוש 9,"4,950 ₪",12,2.0,ירושלים,70,קרקע מתוך 2,0,ירושלים והסביבה,בית פרטי/קוטג'
בר יוחאי 13,"3,100 ₪",12,0,תל אביב יפו,70,4 מתוך 4,1,תל אביב,דירה
יציאת אירופה 20,"3,900 ₪",1,0,הרצליה,90,קרקע מתוך קרקע,1,רמת השרון - הרצליה,דירה
ארלוזורוב 8,"7,400 ₪",12,3.0,באר יעקב,70,קרקע מתוך 3,0,"ראשל""צ והסביבה",דירה
מאיר בעל הנס 15,"5,000 ₪",12,0,אור יהודה,90,4 מתוך 4,0,בקעת אונו,דירה
תמר 14,"9,300 ₪",12,0,חיפה,30,2 מתוך 3,2,חיפה וחוף הכרמל,דירה
יהודה בורלא 28,"3,400 ₪",12,0,נתניה,53,קרקע מתוך 3,2,נתניה והסביבה,דירה
ה 93 8,"2,800 ₪",12,0,חולון,70,קרקע מתוך 6,1,חולון - בת ים,דירה
רחבעם זאבי 13,"4,000 ₪",12,0,רמת גן,35,3 מתוך 4,0,רמת גן - גבעתיים,דירה
מלכי צדק 17,"6,800 ₪",12,0,רמת גן,74,1 מתוך 2,0,רמת גן - גבעתיים,דירה
הירדן 20,"5,500 ₪",12,0,ראשון לציון,70,1 מתוך 4,0,"ראשל""צ והסביבה",דירה
ארלוזורוב 51,"4,500 ₪",12,0,בית שמש,120,1 מתוך 12,0,בית שמש והסביבה,יחידת דיור
הנרקיס 14,"3,600 ₪",12,0,תל אביב יפו,89,3 מתוך 3,0,תל אביב,דירה
חכמי אתונה 53,"5,200 ₪",12,0,תל אביב יפו,30,קרקע מתוך 3,0,תל אביב,בית פרטי/קוטג'
סוטין 19,"6,700 ₪",1,3.5,מודיעין מכבים רעות,132,8 מתוך 17,1,מודיעין והסביבה,דירה
ערער 14,"6,450 ₪",12,0,אשדוד,75,3 מתוך 4,0,אשדוד - אשקלון,דירה
רבי שלום שבזי 6,"4,000 ₪",12,0,רמת גן,100,8 מתוך 8,1,רמת גן - גבעתיים,דירה
מיכאל 22,"4,000 ₪",12,0,רמת גן,76,4 מתוך 4,0,רמת גן - גבעתיים,דירה
דרך זאב ז'בוטינסקי 20,"5,250 ₪",0,0,תל אביב יפו,80,3 מתוך 4,0,תל אביב,דירה
מעפילי אגוז 29,"6,200 ₪",11,0,נתניה,45,קרקע מתוך קרקע,1,נתניה והסביבה,דירת גן
שמואל הנציב 10,"3,200 ₪",1,0,הרצליה,75,2 מתוך 3,0,רמת השרון - הרצליה,דירה
קדושי השואה 54,"8,200 ₪",12,2.0,קרית טבעון,120,1 מתוך 6,0,עמק יזרעאל,דירה
מעלה אבשלום 41,"2,500 ₪",12,0,הוד השרון,80,2 מתוך 3,0,הוד השרון והסביבה,דירה
התחייה 7,"6,000 ₪",12,0,חולון,44,3 מתוך 3,0,חולון - בת ים,דירה
הנשיאים 3,"8,000 ₪",12,0,באר שבע,12,6 מתוך 9,0,באר שבע והסביבה,דירה
יעקב אבינו 1,"3,300 ₪",0,0,זכרון יעקב,92,3 מתוך 3,3,זכרון - בנימינה,דירה
"הפלמ""ח 33","3,000 ₪",12,0,רמלה,130,2 מתוך 7,0,רמלה - לוד,יחידת דיור
משה לוי 1,"5,200 ₪",12,0,ירושלים,1,2 מתוך 3,0,ירושלים והסביבה,דירה
אברהם אידלזון 28,"5,450 ₪",0,0,אילת,80,2 מתוך 3,0,אילת והערבה,דירה
לופית 10,"4,000 ₪",1,0,בת ים,120,5 מתוך 7,1,חולון - בת ים,דירה
אנילביץ' 29,"4,450 ₪",12,0,תל אביב יפו,110,קרקע מתוך קרקע,0,תל אביב,דירה
האמוראים 7,"8,000 ₪",12,0,נס ציונה,125,1 מתוך 4,0,נס ציונה - רחובות,דירה
סעדיה נחום 24,"3,360 ₪",12,0,ירושלים,80,1 מתוך 3,0,ירושלים והסביבה,בית פרטי/קוטג'
המרגלית 302,"4,600 ₪",12,0,אשדוד,130,2 מתוך 17,0,אשדוד - אשקלון,דירה
שבי ציון 31,"5,000 ₪",12,0,באר שבע,149,6 מתוך 11,0,באר שבע והסביבה,דירה
שמעון בר גיורא 13,"3,400 ₪",12,0,ירושלים,102,14 מתוך 16,1,ירושלים והסביבה,דירה
בית הכרם 4,"4,100 ₪",12,3.0,קרית גת,100,10 מתוך 11,0,באר שבע והסביבה,דירה
נחל ירקון 26,"3,500 ₪",12,0,טבריה,146,1 מתוך 5,0,טבריה והסביבה,דירה
דוד המלך 23,"2,600 ₪",12,0,בת ים,85,1 מתוך 3,0,חולון - בת ים,דירה
החשמונאים 56,"7,000 ₪",12,0,חיפה,65,1 מתוך 1,0,חיפה וחוף הכרמל,דירה
החשמל 20,"2,600 ₪",12,0,רחובות,9999,2 מתוך 2,1,נס ציונה - רחובות,דירה
הכרם 9,"5,700 ₪",12,0,אשקלון,72,7 מתוך 8,0,אשדוד - אשקלון,דירה
אריאל שרון 1,"4,800 ₪",12,3.5,קרית שמונה,65,קרקע מתוך קרקע,0,גליל ועמקים,דירה
נורית 30,"4,000 ₪",12,0,ראשון לציון,110,1 מתוך 22,0,"ראשל""צ והסביבה",בית פרטי/קוטג'
פרופ' נחום 10,"5,100 ₪",12,0,קרית ביאליק,84,3 מתוך 3,0,קריות,דירה
הנרקיסים 39,"3,500 ₪",12,0,חדרה,53,1 מתוך 4,0,חדרה וישובי עמק חפר,דירה
אדני פז 42,"6,500 ₪",12,2.5,אור יהודה,260,קרקע מתוך קרקע,2,בקעת אונו,דירה
אבנר 10,"3,500 ₪",12,0,ראש העין,102,8 מתוך 47,1,ראש העין והסביבה,דירה
חנה רובינא 8,"7,200 ₪",6,0,גבעת שמואל,55,קרקע מתוך קרקע,0,בקעת אונו,דירה
הרימון 10,"6,850 ₪",12,0,תל אביב יפו,55,3 מתוך 4,0,תל אביב,דירה
בארי 36,"12,500 ₪",12,5.0,אור עקיבא,30,1 מתוך 1,0,קיסריה והסביבה,דירה
השולמית 1,"5,200 ₪",0,0,חיפה,164,3 מתוך 6,0,חיפה וחוף הכרמל,דירה
אברהם סכנין 13,"4,800 ₪",12,0,שוהם,55,3 מתוך 3,0,מודיעין והסביבה,דירה
זמורה 9,"4,200 ₪",12,3.5,בית דגן,95,2 מתוך 4,1,"ראשל""צ והסביבה",יחידת דיור
התמר 34,0,12,0,באר שבע,160,2 מתוך 7,0,באר שבע והסביבה,יחידת דיור
וינגייט 78,"2,700 ₪",9,2.0,עומר,215,1 מתוך 1,0,באר שבע והסביבה,דירה
צבעוני 34,"2,800 ₪",12,0,פתח תקווה,70,2 מתוך 2,0,פתח תקוה והסביבה,יחידת דיור
יעל רום 11,"7,300 ₪",12,0,תל אביב יפו,60,1 מתוך 3,0,תל אביב,דירה
"פ""ד 8","3,100 ₪",12,0,באר שבע,430,קרקע מתוך קרקע,0,באר שבע והסביבה,גג/פנטהאוז
התלמוד 58,"2,300 ₪",1,0,ירושלים,150,5 מתוך 5,0,ירושלים והסביבה,דירה
אריה ל. מוצקין 6,"5,000 ₪",12,0,תל אביב יפו,110,קרקע מתוך 3,1,תל אביב,בית פרטי/קוטג'
