Address ,Price ,Pay For A Year ,Meters ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
הגליל 65,"3,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_110"")>",חיפה,90,1 מתוך 3,0,חיפה וחוף הכרמל,דירה
לוי יוסף 50,"4,000 ₪",4,2.5,קרית ביאליק,130,1 מתוך 7,2,קריות,כללי
לוונברג 10,"8,500 ₪",12,5,כפר סבא,1,קרקע מתוך קרקע,0,רעננה - כפר סבא,דירה
סוקולוב 2,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_188"")>",תל אביב יפו,40,3 מתוך 3,3,תל אביב,סטודיו/לופט
מוריה 52,"2,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_214"")>",באר שבע,75,1 מתוך 3,1,באר שבע והסביבה,יחידת דיור
החשמונאים 12,"5,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_238"")>",רמת גן,130,2 מתוך 3,1,רמת גן - גבעתיים,דירה
הגפן 16,"8,500 ₪",12,5,מבשרת ציון,120,1 מתוך 13,0,ירושלים והסביבה,דו משפחתי
חנה רובינא 1,"5,200 ₪",4,4,כפר יונה,78,קרקע מתוך קרקע,1,נתניה והסביבה,דירה
הרימון 40,"4,000 ₪",12,2.5,עזריאל,20,קרקע מתוך קרקע,4,מושבים בשרון,דירת גן
ארולוזרוב 21,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_350"")>",רמת גן,109,3 מתוך 6,0,רמת גן - גבעתיים,יחידת דיור
ז'בוטינסקי 34,"5,800 ₪",1,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_376"")>",נהריה,30,קרקע מתוך קרקע,0,עכו - נהריה,דירה
שדרת אגמים 3,"3,800 ₪",12,1.5,נתניה,135,קרקע מתוך קרקע,0,נתניה והסביבה,יחידת דיור
הגיא 461,"2,800 ₪",10,2,חניאל,127,3 מתוך 6,0,חדרה וישובי עמק חפר,יחידת דיור
האלון 81,"6,000 ₪",12,5.5,שדה צבי,34,4 מתוך 4,0,מושבים בדרום,פרטי/קוטג'
יהודה הנשיא 3,"47,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_484"")>",טבריה,80,3 מתוך 3,0,טבריה והסביבה,דירה
טבנקין 8,"1,700 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_514"")>",באר שבע,100,4 מתוך 4,4,באר שבע והסביבה,יחידת דיור
ההסתדרות 29,"3,100 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_544"")>",אשקלון,80,3 מתוך 6,0,אשדוד - אשקלון,דירה
דוד פרנקפורטר 21,"5,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_570"")>",פתח תקווה,80,1 מתוך 7,1,פתח תקוה והסביבה,דירה
צ'לנוב 10,"5,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_598"")>",ראשון לציון,90,קרקע מתוך 5,1,"ראשל""צ והסביבה",דירה
יערה 3,"3,300 ₪",12,2,קרית טבעון,139,10 מתוך 20,2,עמק יזרעאל,יחידת דיור
מבוא החמציץ 4,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_652"")>",אשדוד,90,4 מתוך 7,0,אשדוד - אשקלון,דירה
טרומפלדור 48,"14,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_678"")>",תל אביב יפו,74,קרקע מתוך 48,0,תל אביב,דירת גן
עמיקם שמאי 36,"8,800 ₪",12,6,ראש פינה,430,קרקע מתוך קרקע,0,גליל ועמקים,בית פרטי/קוטג'
שלמה לוי 2,"7,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_736"")>",ראשון לציון,120,1 מתוך 18,0,"ראשל""צ והסביבה",דירה
נהרדעא 10,"9,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_764"")>",תל אביב יפו,106,10 מתוך 12,0,תל אביב,דירה
גרציאני יצחק 6,"8,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_792"")>",תל אביב יפו,80,4 מתוך 3,1,תל אביב,דירה
הזית 1,"6,150 ₪",12,5,עומר,130,1 מתוך 2,0,באר שבע והסביבה,בית פרטי/קוטג'
הגילה 15,0,12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_846"")>",נתניה,100,2 מתוך 2,3,נתניה והסביבה,תיירות ונופש
נחשול 6,"6,200 ₪",12,4,ראש העין,70,קרקע מתוך קרקע,0,ראש העין והסביבה,דירה
הרצל 43,"4,700 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_902"")>",בת ים,106,5 מתוך 7,0,חולון - בת ים,דירה
הראשונים 60,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_928"")>",חיפה,20,1 מתוך 2,0,חיפה וחוף הכרמל,דירה
ההרחבה 68,0,12,3,כפר יחזקאל,45,4 מתוך 4,0,גליל ועמקים,יחידת דיור
זית 2,"3,900 ₪",12,2,מבשרת ציון,180,3 מתוך 3,0,ירושלים והסביבה,דירה
אנסקי 11,"4,500 ₪",12,3,פתח תקווה,90,1 מתוך 3,1,פתח תקוה והסביבה,דירה
הר הצופים 60,"6,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1037"")>",רחובות,132,6 מתוך 8,0,נס ציונה - רחובות,דירה
סוכת שלום 7,"2,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1065"")>",ירושלים,96,3 מתוך 7,0,ירושלים והסביבה,דירה
החצב 10,"3,200 ₪",12,3.5,ראשון לציון,20,3 מתוך 6,1,"ראשל""צ והסביבה",דירה
